Project Code,Target Name,RA,Dec,RA_HMS,Dec_DMS,Long Offset,Lat Offset,Velocity,Vel. Frame,Vel. Convention,Mosaic,Mos. Length,Mos. Width,Mos. PA,Mos. Spacing,Mos. Coord.,Band,Req. Ang. Res.,Req. LAS,Use 7-m?,Use TP?,Polarization,Ref.Frequency,Ref.Freq.Width,Req.Sensitivity,Is Sky Freq?,SPS Start Freq.,SPS End Freq.,SPS Bandwidth,SPS Spec. Res.,Freq SPW 1,Freq SPW 2,Freq SPW 3,Freq SPW 4,Freq SPW 5,Freq SPW 6,Freq SPW 7,Freq SPW 8,Freq SPW 9,Freq SPW 10,Freq SPW 11,Freq SPW 12,Freq SPW 13,Freq SPW 14,Freq SPW 15,Freq SPW 16,Bandwidth SPW 1,Bandwidth SPW 2,Bandwidth SPW 3,Bandwidth SPW 4,Bandwidth SPW 5,Bandwidth SPW 6,Bandwidth SPW 7,Bandwidth SPW 8,Bandwidth SPW 9,Bandwidth SPW 10,Bandwidth SPW 11,Bandwidth SPW 12,Bandwidth SPW 13,Bandwidth SPW 14,Bandwidth SPW 15,Bandwidth SPW 16,Spec.Res. SPW 1,Spec.Res. SPW 2,Spec.Res. SPW 3,Spec.Res. SPW 4,Spec.Res. SPW 5,Spec.Res. SPW 6,Spec.Res. SPW 7,Spec.Res. SPW 8,Spec.Res. SPW 9,Spec.Res. SPW 10,Spec.Res. SPW 11,Spec.Res. SPW 12,Spec.Res. SPW 13,Spec.Res. SPW 14,Spec.Res. SPW 15,Spec.Res. SPW 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS009.1,53.04725,-27.86998056,3h32m11.34s,-27d52m11.9s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS010.1,53.07941667,-27.87078056,3h32m19.06s,-27d52m14.8s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS011.1,53.05770833,-27.93340278,3h32m13.85s,-27d56m00.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS013.1,53.204125,-27.71438889,3h32m48.99s,-27d42m51.8s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS014.1,52.96870833,-28.0553,3h31m52.49s,-28d03m19.1s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS015.1,53.38904167,-27.99154722,3h33m33.37s,-27d59m29.6s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS017.1,53.03041667,-27.85576389,3h32m07.30s,-27d51m20.7s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS018.1,53.02033333,-27.77992778,3h32m04.88s,-27d46m47.7s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS019.1,53.03441667,-27.97060833,3h32m08.26s,-27d58m14.2s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS022.1,52.9455,-27.54425,3h31m46.92s,-27d32m39.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
